<s>at</s>	<s>atlarız</s>	<s>atız</s>
<s>horlarsınız</s>	<s>horluyordunuz</s>	<s>horluyordunuz</s>
<s>aksanımızın</s>	<s>aksanımıza</s>	<s>aksanımıza</s>
<s>karakolumuz</s>	<s>karakolun</s>	<s>karakolun</s>
<s>fıstığından</s>	<s>fıstığının</s>	<s>fıstığının</s>
<s>ağdacısının</s>	<s>ağdacılarınızı</s>	<s>ağdacılarınızı</s>
<s>antioksidan</s>	<s>antioksidanlarda</s>	<s>antioksidanlarda</s>
<s>sıfatınızın</s>	<s>sıfatınızdan</s>	<s>sıfatınızdan</s>
<s>yetişiyoruz</s>	<s>yetişmiyorum</s>	<s>yetişmiyorum</s>
<s>palmiyemizi</s>	<s>palmiyelerime</s>	<s>palmiyelerime</s>
<s>cinmişsiniz</s>	<s>cinimde</s>	<s>cinimde</s>
<s>rakılarınız</s>	<s>rakılarından</s>	<s>rakılarından</s>
<s>patenlerine</s>	<s>patenlere</s>	<s>patenlere</s>
<s>kapatıyorum</s>	<s>kapatıyorlar</s>	<s>kapatıyorlar</s>
<s>günlerinizi</s>	<s>gününe</s>	<s>gününe</s>
<s>ortaklarmış</s>	<s>ortaklarımın</s>	<s>ortaklarımın</s>
<s>aldatmazsın</s>	<s>aldatmadın</s>	<s>aldatmadın</s>
<s>aldırtmatın</s>	<s>aldırtmayacağız</s>	<s>aldırtmaacağız</s>
<s>çedarınızda</s>	<s>çedarında</s>	<s>çedarında</s>
<s>üşenmiyoruz</s>	<s>üşenirsiniz</s>	<s>üşenirsiniz</s>
<s>emlakçımıza</s>	<s>emlakçılar</s>	<s>emlakçılar</s>
<s>laçoymuşlar</s>	<s>laçomuz</s>	<s>laçomuz</s>
<s>çökerticiye</s>	<s>çökerticilerimiz</s>	<s>çökerticilerimiz</s>
<s>mağaraların</s>	<s>mağaramızın</s>	<s>mağaramızın</s>
<s>erkekliğini</s>	<s>erkekliğin</s>	<s>erkekliğin</s>
<s>okullarınız</s>	<s>okullarından</s>	<s>okullarından</s>
<s>gençliğinin</s>	<s>gençliklerinizi</s>	<s>gençliklerinizi</s>
<s>döndürmedim</s>	<s>döndürmüyorsun</s>	<s>döndürmüyorsun</s>
<s>dondurmuyor</s>	<s>dondurmayız</s>	<s>dondurmayız</s>
<s>klatratımın</s>	<s>klatratlarından</s>	<s>klatratlarından</s>
<s>giysilerime</s>	<s>giyside</s>	<s>giyside</s>
<s>pozisyonuma</s>	<s>pozisyonumun</s>	<s>pozisyonumun</s>
<s>dişlilerimi</s>	<s>dişlilerimizden</s>	<s>dişlilerimizden</s>
<s>aktörlerine</s>	<s>aktörleri</s>	<s>aktörleri</s>
<s>hemşirenden</s>	<s>hemşiresinin</s>	<s>hemşiresinin</s>
<s>ucubelerdik</s>	<s>ucubelerimizde</s>	<s>ucubelerimizde</s>
<s>fırçasından</s>	<s>fırçamızın</s>	<s>fırçamızın</s>
<s>dizelerinde</s>	<s>dizeyi</s>	<s>dizeyi</s>
<s>çarmıhınızı</s>	<s>çarmıhlarına</s>	<s>çarmıhlarına</s>
<s>tabancalara</s>	<s>tabancaları</s>	<s>tabancaları</s>
<s>kibutzından</s>	<s>kibutzın</s>	<s>kibutzın</s>
<s>aktörünüzün</s>	<s>aktörlere</s>	<s>aktörlere</s>
<s>indiriminde</s>	<s>indirimleriniz</s>	<s>indirimleriniz</s>
<s>saksocusuna</s>	<s>saksocusundan</s>	<s>saksocusundan</s>
<s>bileşiğinde</s>	<s>bileşiklerimizin</s>	<s>bileşiklerimizin</s>
<s>doymuyorduk</s>	<s>doyarsın</s>	<s>doyarsın</s>
<s>yağmurların</s>	<s>yağmurlarımız</s>	<s>yağmurlarımız</s>
<s>yarınınızın</s>	<s>yarını</s>	<s>yarını</s>
<s>canlarınızı</s>	<s>canlarımıza</s>	<s>canlarımıza</s>
<s>raporunuzun</s>	<s>rapora</s>	<s>rapora</s>
<s>bakanlardan</s>	<s>bakanınız</s>	<s>bakanınız</s>
<s>tetrafobide</s>	<s>tetrafobilere</s>	<s>tetrafobilere</s>
<s>dirimimizin</s>	<s>diriminize</s>	<s>diriminize</s>
<s>hastaydılar</s>	<s>hastalar</s>	<s>hastalar</s>
<s>haritalarım</s>	<s>haritalarımızı</s>	<s>haritalarımızı</s>
<s>çürümeyecek</s>	<s>çürümedim</s>	<s>çürümedim</s>
<s>zulümlerime</s>	<s>zulmün</s>	<s>zulmün</s>
<s>ıspanağımın</s>	<s>ıspanaklarınızda</s>	<s>ıspanaklarınızda</s>
<s>fasıklarıma</s>	<s>fasığından</s>	<s>fasığından</s>
<s>çağanozları</s>	<s>çağanozlarımız</s>	<s>çağanozlarımız</s>
<s>iffetlerdir</s>	<s>iffetimden</s>	<s>iffetimden</s>
<s>kızlarımdan</s>	<s>kızlardınız</s>	<s>kızlardınız</s>
<s>fortladınız</s>	<s>fortmıyorsun</s>	<s>fortlamıyorsun</s>
<s>tekrarınıza</s>	<s>tekrarlarımızdan</s>	<s>tekrarlarımızdan</s>
<s>burunlardan</s>	<s>burunumuzu</s>	<s>burnumuzu</s>
<s>laternanıza</s>	<s>laternalarınızı</s>	<s>laternalarınızı</s>
<s>topiklerimi</s>	<s>topiklerimde</s>	<s>topiklerimde</s>
<s>cümleydiniz</s>	<s>cümlelerinden</s>	<s>cümlelerinden</s>
<s>hapislerden</s>	<s>hapsimin</s>	<s>hapsimin</s>
<s>kaltaklarda</s>	<s>kaltaklarımızı</s>	<s>kaltaklarımızı</s>
<s>kurtçuğumun</s>	<s>kurtçuğuma</s>	<s>kurtçuğuma</s>
<s>kütüğünüzün</s>	<s>kütüğümde</s>	<s>kütüğümde</s>
<s>öpücüklerde</s>	<s>öpücükleriniz</s>	<s>öpücükleriniz</s>
<s>bükmemesine</s>	<s>bükmemelerden</s>	<s>bükmemelerden</s>
<s>söğüdünüzde</s>	<s>söğüdün</s>	<s>söğüdün</s>
<s>silgilerimi</s>	<s>silgiyi</s>	<s>silgiyi</s>
<s>yemişimizin</s>	<s>yemişimize</s>	<s>yemişimize</s>
<s>çöllerinizi</s>	<s>çöllerinde</s>	<s>çöllerinde</s>
<s>eziyetçiler</s>	<s>eziyetçilerinde</s>	<s>eziyetçilerinde</s>
<s>düdüklerime</s>	<s>düdüğüm</s>	<s>düdüğüm</s>
<s>ısılarından</s>	<s>ısıları</s>	<s>ısıları</s>
<s>yongalarını</s>	<s>yongana</s>	<s>yongana</s>
<s>sillenizden</s>	<s>sillelerinin</s>	<s>sillelerinin</s>
<s>dildolarına</s>	<s>dildolarından</s>	<s>dildolarından</s>
<s>boklarınıza</s>	<s>boklarını</s>	<s>boklarını</s>
<s>borçlarınız</s>	<s>borcumu</s>	<s>borcumu</s>
<s>sikişeceğim</s>	<s>sikişeceksin</s>	<s>sikişeceksin</s>
<s>wikilerinde</s>	<s>wikilerinin</s>	<s>wikilerinin</s>
<s>kumandamdan</s>	<s>kumandasının</s>	<s>kumandasının</s>
<s>maktalarıma</s>	<s>maktalarımızda</s>	<s>maktalarımızda</s>
<s>fındığınızı</s>	<s>fındıklarınızı</s>	<s>fındıklarınızı</s>
<s>büküleceğiz</s>	<s>bükülürsin</s>	<s>bükülürsin</s>
<s>işlemcimden</s>	<s>işlemciler</s>	<s>işlemciler</s>
<s>bardağımıza</s>	<s>bardağıma</s>	<s>bardağıma</s>
<s>önemlerinde</s>	<s>önemleri</s>	<s>önemleri</s>
<s>pipilerinde</s>	<s>pipilerine</s>	<s>pipilerine</s>
<s>integralimi</s>	<s>integrallerinizi</s>	<s>integrallerinizi</s>
<s>hareketimin</s>	<s>hareketlerimizde</s>	<s>hareketlerimizde</s>
<s>şahlarımdan</s>	<s>şahlarının</s>	<s>şahlarının</s>
<s>telofazının</s>	<s>telofazlarının</s>	<s>telofazlarının</s>
<s>önbilgimizi</s>	<s>önbilgilerinde</s>	<s>önbilgilerinde</s>
<s>albümlerden</s>	<s>albümümü</s>	<s>albümümü</s>
<s>biletlerini</s>	<s>biletlerimin</s>	<s>biletlerimin</s>
<s>metrdotelde</s>	<s>metrdotelleriniz</s>	<s>metrdotelleriniz</s>
<s>ecelerimize</s>	<s>eceleriz</s>	<s>eceyiz</s>
<s>sesteşimizi</s>	<s>sesteşlerini</s>	<s>sesteşlerini</s>
<s>paparazinde</s>	<s>paparazisine</s>	<s>paparazisine</s>
<s>elipsimizde</s>	<s>elipslerimde</s>	<s>elipslerimde</s>
<s>porsuğumuzda</s>	<s>porsuğumuzun</s>	<s>porsuğumuzun</s>
<s>gerinirsiniz</s>	<s>geriniyorlardı</s>	<s>geriniyorlardı</s>
<s>karamellerin</s>	<s>karamelini</s>	<s>karamelini</s>
<s>yörelerinizi</s>	<s>yöremizin</s>	<s>yöremizin</s>
<s>yolunuyorlar</s>	<s>yolunacağız</s>	<s>yolunacağız</s>
<s>startlarının</s>	<s>startlarım</s>	<s>startlarım</s>
<s>çiftliklerim</s>	<s>çiftliğimiz</s>	<s>çiftliğimiz</s>
<s>krakerlerime</s>	<s>krakerlerin</s>	<s>krakerlerin</s>
<s>cenubunuzdan</s>	<s>cenubumuzun</s>	<s>cenubumuzun</s>
<s>adalelerimin</s>	<s>adalelerine</s>	<s>adalelerine</s>
<s>kaplanlarını</s>	<s>kaplanları</s>	<s>kaplanları</s>
<s>integraliniz</s>	<s>integrallerim</s>	<s>integrallerim</s>
<s>kutularınıza</s>	<s>kutularımıza</s>	<s>kutularımıza</s>
<s>böğürtlenime</s>	<s>böğürtleni</s>	<s>böğürtleni</s>
<s>çaydanlıktan</s>	<s>çaydanlığı</s>	<s>çaydanlığı</s>
<s>pastalarında</s>	<s>pastasına</s>	<s>pastasına</s>
<s>şubatlarımın</s>	<s>şubatında</s>	<s>şubatında</s>
<s>sıçacaksınız</s>	<s>sıçarım</s>	<s>sıçarım</s>
<s>boşalmayacak</s>	<s>boşalarsınız</s>	<s>boşalırsınız</s>
<s>sütyenlerime</s>	<s>sütyenlerinizden</s>	<s>sütyenlerinizden</s>
<s>mısralarında</s>	<s>mısranızdan</s>	<s>mısranızdan</s>
<s>gücenmeyecek</s>	<s>güceniyoruz</s>	<s>güceniyoruz</s>
<s>striptizleri</s>	<s>striptizlerini</s>	<s>striptizlerini</s>
<s>sagalarımdan</s>	<s>sagalarına</s>	<s>sagalarına</s>
<s>dalgınlıklar</s>	<s>dalgınlığı</s>	<s>dalgınlığı</s>
<s>jokeyinizden</s>	<s>jokeyimize</s>	<s>jokeyimize</s>
<s>maydanozunuz</s>	<s>maydanozlarımız</s>	<s>maydanozlarımız</s>
<s>çözeltinizde</s>	<s>çözeltiden</s>	<s>çözeltiden</s>
<s>lezzetinizde</s>	<s>lezzetlerimi</s>	<s>lezzetlerimi</s>
<s>parçacığında</s>	<s>parçacıklarının</s>	<s>parçacıklarının</s>
<s>ışınlarımıza</s>	<s>ışınsınız</s>	<s>ışınsınız</s>
<s>şerbetimizde</s>	<s>şerbetime</s>	<s>şerbetime</s>
<s>çeçlerinizde</s>	<s>çeçinizi</s>	<s>çeçinizi</s>
<s>figüranınıza</s>	<s>figüranının</s>	<s>figüranının</s>
<s>hallerimizin</s>	<s>hal</s>	<s>hal</s>
<s>yalımıyorsun</s>	<s>yalıyacaklar</s>	<s>yalıyacaklar</s>
<s>tanıyordunuz</s>	<s>tanacaksınız</s>	<s>tanıyacaksınız</s>
<s>odacılarımız</s>	<s>odacılarınızı</s>	<s>odacılarınızı</s>
<s>ellemiyorsun</s>	<s>ellemeyecek</s>	<s>ellemeyecek</s>
<s>maydanozları</s>	<s>maydanozlara</s>	<s>maydanozlara</s>
<s>aşmıyordular</s>	<s>aşadık</s>	<s>aştık</s>
<s>attırıyorsun</s>	<s>attırırsınız</s>	<s>atırırsınız</s>
<s>mucizenizden</s>	<s>mucizeni</s>	<s>mucizeni</s>
<s>tercihlerimi</s>	<s>tercihimi</s>	<s>tercihimi</s>
<s>yüzüncümüşüz</s>	<s>yüzüncülerinizin</s>	<s>yüzüncülerinizin</s>
<s>düzeliyordum</s>	<s>düzelmiyor</s>	<s>düzelmiyor</s>
<s>yutuyorlardı</s>	<s>yutursunuz</s>	<s>yutarsınız</s>
<s>kapatmayacak</s>	<s>kapatmadı</s>	<s>kapatmadı</s>
<s>utandırmadın</s>	<s>utandırmazsınız</s>	<s>utandırmazsınız</s>
<s>jölelerinden</s>	<s>jölelerini</s>	<s>jölelerini</s>
<s>şirketlerden</s>	<s>şirkette</s>	<s>şirkette</s>
<s>şarkıcılardı</s>	<s>şarkıcısına</s>	<s>şarkıcısına</s>
<s>jelatinlerin</s>	<s>jelatinlerimi</s>	<s>jelatinlerimi</s>
<s>yumuşağınızı</s>	<s>yumuşaklarda</s>	<s>yumuşaklarda</s>
<s>bitiyorsunuz</s>	<s>bitmiyorlar</s>	<s>bitmiyorlar</s>
<s>başçığınızda</s>	<s>başçıklarınızı</s>	<s>başçıklarınızı</s>
<s>aldırıyordun</s>	<s>aldırmazsınız</s>	<s>aldırmazsınız</s>
<s>haçlarınızda</s>	<s>haçlarımızın</s>	<s>haçlarımızın</s>
<s>teşhirimizin</s>	<s>teşhirlerimize</s>	<s>teşhirlerimize</s>
<s>köpürmeyecek</s>	<s>köpürmedin</s>	<s>köpürmedin</s>
<s>alındırmadın</s>	<s>alındırmazsın</s>	<s>alındırmazsın</s>
<s>diskolarında</s>	<s>diskolarında</s>	<s>diskolarında</s>
<s>balalaykanız</s>	<s>balalaykamızda</s>	<s>balalaykamızda</s>
<s>tuzlarınızda</s>	<s>tuzumuz</s>	<s>tuzumuz</s>
<s>yolculukları</s>	<s>yolculuğu</s>	<s>yolculuğu</s>
<s>gollerinizin</s>	<s>golünden</s>	<s>golünden</s>
<s>tulumlarında</s>	<s>tulumumuzun</s>	<s>tulumumuzun</s>
<s>mikroplarımı</s>	<s>mikroplarında</s>	<s>mikroplarında</s>
<s>kataloğumuza</s>	<s>katalogları</s>	<s>katalogları</s>
<s>sesteşimizin</s>	<s>sesteşlerinden</s>	<s>sesteşlerinden</s>
<s>süngerlerimi</s>	<s>süngeri</s>	<s>süngeri</s>
<s>babasızlardı</s>	<s>babasızımız</s>	<s>babasızımız</s>
<s>aşıklarımızı</s>	<s>aşıklarında</s>	<s>aşıklarında</s>
<s>mutluluğunuz</s>	<s>mutluluğunuza</s>	<s>mutluluğunuza</s>
<s>salıncaklara</s>	<s>salıncaklarına</s>	<s>salıncaklarına</s>
<s>kapakçıklara</s>	<s>kapakçıktan</s>	<s>kapakçıktan</s>
<s>sarılarınıza</s>	<s>sarılardan</s>	<s>sarılardan</s>
<s>şafaklarının</s>	<s>şafaklarımızda</s>	<s>şafaklarımızda</s>
<s>sağlayıcıyız</s>	<s>sağlayıcıymışsınız</s>	<s>sağlayıcıymışsınız</s>
<s>dalgıçlardan</s>	<s>dalgıcımızın</s>	<s>dalgıcımızın</s>
<s>gelinciğiniz</s>	<s>gelinciğimin</s>	<s>gelinciğimin</s>
<s>çürümüyorlar</s>	<s>çürüyor</s>	<s>çürüyor</s>
<s>mısralarınız</s>	<s>mısraları</s>	<s>mısraları</s>
<s>ahudutlarını</s>	<s>ahudutu</s>	<s>ahududunu</s>
<s>sinekliğinde</s>	<s>sinekliklerine</s>	<s>sinekliklerine</s>
<s>pırasalarımı</s>	<s>pırasasında</s>	<s>pırasasında</s>
<s>seçileceksin</s>	<s>seçileceğim</s>	<s>seçileceğim</s>
<s>oğullarımdan</s>	<s>oğuldular</s>	<s>oğuldular</s>
<s>külahlarında</s>	<s>külahlarının</s>	<s>külahlarının</s>
<s>nisanlarınız</s>	<s>nisanlarıma</s>	<s>nisanlarıma</s>
<s>müzikalinize</s>	<s>müzikalinizde</s>	<s>müzikalinizde</s>
<s>ayakkabımızı</s>	<s>ayakkabısınız</s>	<s>ayakkabısınız</s>
<s>nutuklarımın</s>	<s>nutuğunuzu</s>	<s>nutkunuzu</s>
<s>patlamıyorum</s>	<s>patlayacak</s>	<s>patlayacak</s>
<s>şamisenlerim</s>	<s>şamisenlerinin</s>	<s>şamisenlerinin</s>
<s>istemcilerin</s>	<s>istemciye</s>	<s>istemciye</s>
<s>tohumlarında</s>	<s>tohum</s>	<s>tohum</s>
<s>maskaramızda</s>	<s>maskaralarınızı</s>	<s>maskaralarınızı</s>
<s>tebeşirlerde</s>	<s>teşhirler</s>	<s>tebeşirler</s>
<s>taklitçilere</s>	<s>taklitçiler</s>	<s>taklitçiler</s>
<s>bağcıklarına</s>	<s>bağcığımda</s>	<s>bağcığımda</s>
<s>portakalınız</s>	<s>portakalını</s>	<s>portakalını</s>
<s>aldırıyordum</s>	<s>aldırmıyordular</s>	<s>aldırmıyordular</s>
<s>pedlerinizin</s>	<s>pedinin</s>	<s>pedin</s>
<s>kaderlerimiz</s>	<s>kaderi</s>	<s>kaderi</s>
<s>emlakçılarda</s>	<s>emlakçısında</s>	<s>emlakçısında</s>
<s>ilişkilerimi</s>	<s>ilişkilerinden</s>	<s>ilişkilerinden</s>
<s>deneylerimde</s>	<s>deney</s>	<s>deney</s>
<s>keçilerdiniz</s>	<s>keçimize</s>	<s>keçimize</s>
<s>papyonlardan</s>	<s>papyonunu</s>	<s>papyonunu</s>
<s>semerleriniz</s>	<s>semerini</s>	<s>semerini</s>
<s>patenimizden</s>	<s>patenlerinin</s>	<s>patenlerinin</s>
<s>manitalarıma</s>	<s>manitaymışlar</s>	<s>manitaymışlar</s>
<s>sürtüğünüzde</s>	<s>sürtüklere</s>	<s>sürtüklere</s>
<s>huzurlarınız</s>	<s>huzurlarında</s>	<s>huzurlarında</s>
<s>lolipopumuza</s>	<s>lolipoplarda</s>	<s>lolipoplarda</s>
<s>kartlarımıza</s>	<s>kartım</s>	<s>kartım</s>
<s>yanıyordunuz</s>	<s>yanmıyor</s>	<s>yanmıyor</s>
<s>pusulamızdan</s>	<s>pusulaymışlar</s>	<s>pusulaymışlar</s>
<s>donmalarımda</s>	<s>donmalarıma</s>	<s>donmalarıma</s>
<s>hafriyatlara</s>	<s>hafriyatların</s>	<s>hafriyatların</s>
<s>balamozsunuz</s>	<s>balamozlara</s>	<s>balamozlara</s>
<s>efsunlarımda</s>	<s>efsununuza</s>	<s>efsununuza</s>
<s>objelerdiniz</s>	<s>objeler</s>	<s>objeler</s>
<s>laternanızın</s>	<s>laternalarını</s>	<s>laternalarını</s>
<s>smileylerimi</s>	<s>smileylerinin</s>	<s>smileylerinin</s>
<s>böcekleriniz</s>	<s>böceği</s>	<s>böceği</s>
<s>şamiseninizi</s>	<s>şamisenlerin</s>	<s>şamisenlerin</s>
<s>otogarımızda</s>	<s>otogarları</s>	<s>otogarları</s>
<s>tabansızları</s>	<s>tabansız</s>	<s>tabansız</s>
<s>ritimlerinin</s>	<s>ritmlerinde</s>	<s>ritimlerinde</s>
<s>papağanların</s>	<s>papağandan</s>	<s>papağandan</s>
<s>hâllerimizin</s>	<s>hâlinde</s>	<s>hâlinde</s>
<s>şarklarımdan</s>	<s>şarkı</s>	<s>şarkı</s>
<s>gecelerimize</s>	<s>gecemi</s>	<s>gecemi</s>
<s>kaltaklarıma</s>	<s>kaltaklarında</s>	<s>kaltaklarında</s>
<s>kunduzlarmış</s>	<s>kunduzuz</s>	<s>kunduzuz</s>
<s>teşhislerime</s>	<s>teşhisler</s>	<s>teşhisler</s>
<s>abartıyorlar</s>	<s>abarttınız</s>	<s>abarttınız</s>
<s>dağıtımlarım</s>	<s>dağıtımlarımız</s>	<s>dağıtımlarımız</s>
<s>yollarınızda</s>	<s>yollarını</s>	<s>yollarını</s>
<s>çadırınızdan</s>	<s>çadırlardan</s>	<s>çadırlardan</s>
<s>kullanılacak</s>	<s>kullanılmadın</s>	<s>kullanılmadın</s>
<s>doğumlarınız</s>	<s>doğumlardan</s>	<s>doğumlardan</s>
<s>şaşılmayacak</s>	<s>şaşılıyordu</s>	<s>şaşılıyordu</s>
<s>boşalmıyoruz</s>	<s>boşalıyorsun</s>	<s>boşalıyorsun</s>
<s>bilyelerinin</s>	<s>bilyemiz</s>	<s>bilyemiz</s>
<s>kırılıyordum</s>	<s>kırılmazlar</s>	<s>kırılmazlar</s>
<s>peruklarında</s>	<s>peruklarına</s>	<s>peruklarına</s>
<s>radyolarının</s>	<s>radyolarımızı</s>	<s>radyolarımızı</s>
<s>dakikasından</s>	<s>dakikalar</s>	<s>dakikalar</s>
<s>meşalelermiş</s>	<s>meşalelerimden</s>	<s>meşalelerimden</s>
<s>temsilcisini</s>	<s>temsilcileriz</s>	<s>temsilcileriz</s>
<s>alındırtacak</s>	<s>alındırtmıyorum</s>	<s>alındırtmıyorum</s>
<s>uçurtmasınız</s>	<s>uçurtmalarınız</s>	<s>uçurtmalarınız</s>
<s>karlarınızın</s>	<s>karısınız</s>	<s>karsınız</s>
<s>özgürlüğümüz</s>	<s>özgürlüklerimde</s>	<s>özgürlüklerimde</s>
<s>cihazlarımız</s>	<s>cihazlarına</s>	<s>cihazlarına</s>
<s>dişilerinize</s>	<s>dişini</s>	<s>dişini</s>
<s>onguncumuzda</s>	<s>onguncusunun</s>	<s>onguncusunun</s>
<s>masallarımda</s>	<s>masalda</s>	<s>masalda</s>
<s>doğuruyorlar</s>	<s>doğuruyorsunuz</s>	<s>doğuruyorsunuz</s>
<s>salaklarımız</s>	<s>salağımın</s>	<s>salağımın</s>
<s>hindilerimde</s>	<s>hindilerinde</s>	<s>hindilerinde</s>
<s>magmalarımız</s>	<s>magmam</s>	<s>magmam</s>
<s>aktrislerimi</s>	<s>aktrislerden</s>	<s>aktrislerden</s>
<s>sayılarımızı</s>	<s>sayısına</s>	<s>sayısına</s>
<s>masalarından</s>	<s>masan</s>	<s>masan</s>
<s>dudaklarımda</s>	<s>dudaklar</s>	<s>dudaklar</s>
<s>startlarımda</s>	<s>startımız</s>	<s>startımız</s>
<s>hareketlerin</s>	<s>hareketlerinin</s>	<s>hareketlerinin</s>
<s>erkeneklerim</s>	<s>erkeneklermiş</s>	<s>erkeneklermiş</s>
<s>mezarlığının</s>	<s>mezarlıklarda</s>	<s>mezarlıklarda</s>
<s>ısılarımızda</s>	<s>ısısı</s>	<s>ısısı</s>
<s>kalemtıraşın</s>	<s>kalemtıraşım</s>	<s>kalemtıraşım</s>
<s>sunmayacağız</s>	<s>sunmuyorlar</s>	<s>sunmuyorlar</s>
<s>nişanlılarda</s>	<s>nişanlılarından</s>	<s>nişanlılarından</s>
<s>kasımlarınız</s>	<s>kasımlarımızın</s>	<s>kasımlarımızın</s>
<s>tutkuymuşlar</s>	<s>tutkunuzun</s>	<s>tutkunuzun</s>
<s>bulmayacağız</s>	<s>buluyordunuz</s>	<s>buluyordunuz</s>
<s>rüzgârımızda</s>	<s>rüzgârınıza</s>	<s>rüzgârınıza</s>
<s>kulübelerden</s>	<s>kulübelerim</s>	<s>kulübelerim</s>
<s>mayonezinizi</s>	<s>mayonezimizde</s>	<s>mayonezimizde</s>
<s>dirilmemedim</s>	<s>dirilmemediniz</s>	<s>dirilmemediniz</s>
<s>yalancısında</s>	<s>yalancılarımda</s>	<s>yalancılarımda</s>
<s>kesyapımızın</s>	<s>kesyapımız</s>	<s>kesyapımız</s>
<s>uzaklarımıza</s>	<s>uzaklardı</s>	<s>uzaklardı</s>
<s>skrotumumdan</s>	<s>skrotumundan</s>	<s>skrotumundan</s>
<s>giriyorlardı</s>	<s>girer</s>	<s>girer</s>
<s>kasıklarınız</s>	<s>kasığımıza</s>	<s>kasığımıza</s>
<s>tuğralarımda</s>	<s>tuğrasını</s>	<s>tuğrasını</s>
<s>yaratmasının</s>	<s>yaratmalarımdan</s>	<s>yaratmalarımdan</s>
<s>sesteşinizde</s>	<s>sesteşlerinden</s>	<s>sesteşlerinden</s>
<s>derecelerini</s>	<s>derecemde</s>	<s>derecemde</s>
<s>jiletlerinde</s>	<s>jiletlerinizi</s>	<s>jiletlerinizi</s>
<s>iftitahlarda</s>	<s>iftitahımızın</s>	<s>iftitahımızın</s>
<s>yolculuğumuz</s>	<s>yolculuktan</s>	<s>yolculuktan</s>
<s>kitaplıkları</s>	<s>kitaplıktan</s>	<s>kitaplıktan</s>
<s>harçlarımızı</s>	<s>harcı</s>	<s>harcı</s>
<s>bıyıklarınız</s>	<s>bıyıklara</s>	<s>bıyıklara</s>
<s>anafazınızda</s>	<s>anafazlarımızın</s>	<s>anafazlarımızın</s>
<s>jonglörünüzü</s>	<s>jonglörünü</s>	<s>jonglörünü</s>
<s>sürümlerinde</s>	<s>sürümlerimizi</s>	<s>sürümlerimizi</s>
<s>attıracaklar</s>	<s>attırmadım</s>	<s>attırmadım</s>
<s>ağlatıyordun</s>	<s>ağlattınız</s>	<s>ağlattın</s>
<s>yoldurtmadık</s>	<s>yoldurttu</s>	<s>yoldurttu</s>
<s>gözlerimizde</s>	<s>gözlerinin</s>	<s>gözlerinin</s>
<s>sinekliğimde</s>	<s>sinekliklerde</s>	<s>sinekliklerde</s>
<s>birleşmenizi</s>	<s>birleşmemiz</s>	<s>birleşmemiz</s>
<s>kromozomunuza</s>	<s>kromozomu</s>	<s>kromozomu</s>
<s>iğnelerimizde</s>	<s>iğnelerimize</s>	<s>iğnelerimize</s>
<s>satışlarınıza</s>	<s>satışlarından</s>	<s>satışlarından</s>
<s>üzümlerinizin</s>	<s>üzümüne</s>	<s>üzümüne</s>
<s>yaşamlarmışız</s>	<s>yaşamının</s>	<s>yaşamının</s>
<s>efsunlarımızı</s>	<s>efsunlarımızda</s>	<s>efsunlarımızda</s>
<s>dillerimizden</s>	<s>dillerimizde</s>	<s>dillerimizde</s>
<s>sıcaklıkların</s>	<s>sıcaklığı</s>	<s>sıcaklığı</s>
<s>zulümlerinden</s>	<s>zulümlerinin</s>	<s>zulümlerinin</s>
<s>emlaklarımızı</s>	<s>emlağınızda</s>	<s>emlağınızda</s>
<s>ikilemlerimde</s>	<s>ikilemin</s>	<s>ikilemin</s>
<s>bisikletimize</s>	<s>bisiklet</s>	<s>bisiklet</s>
<s>akılarımızdan</s>	<s>akılarına</s>	<s>akılarına</s>
<s>dinamitinizin</s>	<s>dinamit</s>	<s>dinamit</s>
<s>oyuncularımın</s>	<s>oyuncusundan</s>	<s>oyuncusundan</s>
<s>büktürülürler</s>	<s>büktürülmezler</s>	<s>büktürülmezler</s>
<s>yollarınızdan</s>	<s>yol</s>	<s>yol</s>
<s>beyazlarından</s>	<s>beyazlarıma</s>	<s>beyazlarıma</s>
<s>tekrarınızdan</s>	<s>tekrarlarınızda</s>	<s>tekrarlarınızda</s>
<s>aşurelerinize</s>	<s>aşureniz</s>	<s>aşureniz</s>
<s>bükmemelerden</s>	<s>bükmemesini</s>	<s>bükmemesini</s>
<s>kaçırmazsınız</s>	<s>kaçırmıyoruz</s>	<s>kaçırmıyoruz</s>
<s>hıçkırıkların</s>	<s>hıçkırığınızı</s>	<s>hıçkırığınızı</s>
<s>yaratmamızdan</s>	<s>yaratmalarımızda</s>	<s>yaratmalarımızda</s>
<s>yolundurturum</s>	<s>yolundurtuyoruz</s>	<s>yolundurtuyoruz</s>
<s>semercilerimi</s>	<s>semercilerinizi</s>	<s>semercilerinizi</s>
<s>magmalarınıza</s>	<s>magmalarımız</s>	<s>magmalarımız</s>
<s>futbolcumuzda</s>	<s>futbolcusunu</s>	<s>futbolcusunu</s>
<s>sıralamanızda</s>	<s>sıralamalarında</s>	<s>sıralamalarında</s>
<s>kumandalarını</s>	<s>kumandalarından</s>	<s>kumandalarından</s>
<s>lüferlerimden</s>	<s>lüferi</s>	<s>lüferi</s>
<s>asteroidimizi</s>	<s>asteroitlerimi</s>	<s>asteroitlerimi</s>
<s>kurşunlarımın</s>	<s>kurşununu</s>	<s>kurşununu</s>
<s>tekfurlarımız</s>	<s>tekfurlarımızdan</s>	<s>tekfurlarımızdan</s>
