otuz bircimiz	otuz birciNNOMSGPSS1P
animasyonlarınızın	animasyonNGENPLPSS2P
şaşırtıyorlar mıydı?	şaşırtmakVIND3PLPSTPROGPOSINTR
sincabınızda	sincapNLOCSGPSS2P
büküyordunuz	bükmemekVIND2PLPSTPROGPOSDECL
olay güdümlü programlamanızdan	olay güdümlü programlamaNABLSGPSS2P
ortaklıklarına	ortaklıkNDATPLPSS3S
köftelerinin	köfteNGENPLPSS3P
ayarlatmadı	ayarlatmakVIND3SGPSTNEGDECL
pipetmişim	pipetNLGSPEC11SSGLGSPEC2
iribaşınızdan	iribaşNABLSGPSS2P
düklerde	dükNLOCPL
artçı depremlere	artçı depremNDATPL
davranacaksınız	davranmakVIND2PLFUTPOSDECL
buluyorduk	bulmakVIND1PLPSTPROGPOSDECL
sıvılaştıracak mı?	sıvılaştırmakVIND3SGFUTPOSINTR
deşmezsin	deşmekVIND2SGPRSNEGDECL
boşanmadın	boşanmakVIND2SGPSTNEGDECL
kakacaksınız	kakmakVIND2PLFUTPOSDECL
bekletmezler mi?	bekletmekVIND3PLPRSNEGINTR
anjiyomuzun	anjiyoNGENSGPSS1P
saklamadım	saklamakVIND1SGPSTNEGDECL
mantıklı değil miymişsiniz?	mantıklıADJLGSPEC1LGSPEC22PLNEGINTR
ayvazdılar	ayvazNLGSPEC13PSGPST
ısırırsın	ısırmakVIND2SGPRSPOSDECL
balamozlarınıza	balamozNDATPLPSS2P
uyar	uymakVIND3SGPRSPOSDECL
bitirmedim mi?	bitirmekVIND1SGPSTNEGINTR
gondolları	gondolNNOMSGPSS3P
ilginç değil miydin?	ilginçADJLGSPEC1PST2SGNEGINTR
semerciniz	semerciNNOMSGPSS2P
göçlermişiz	göçNLGSPEC11PPLLGSPEC2
toplamaz	toplamakVIND3SGPRSNEGDECL
sonsuzlardan	sonsuzNABLPL
sağrıları	sağrıNACCPL
kazımayacak	kazımakVIND3SGFUTNEGDECL
kovuluyorlar	kovulmakVIND3PLPRSPROGPOSDECL
eğmiyor muyduk?	eğmekVIND1PLPSTPROGNEGINTR
önemsizlikler	önemsizlikNNOMPL
çalmadılar mı?	çalmakVIND3PLPSTNEGINTR
göndermeyeceksiniz	göndermekVIND2PLFUTNEGDECL
çökertmiyorduk	çökertmekVIND1PLPSTPROGNEGDECL
hendese	hendeseNNOMSG
saldırdı	saldırmakVIND3SGPSTPOSDECL
arınıyorsunuz	arınmakVIND2PLPRSPROGPOSDECL
süzdü mü?	süzmekVIND3SGPSTPOSINTR
kırıtmıyordu	kırıtmakVIND3SGPSTPROGNEGDECL
kuvvetsizliklerine	kuvvetsizlikNDATPLPSS2S
temsiline	temsilNDATSGPSS3S
gebermiyordular	gebermekVIND3PLPSTPROGNEGDECL
geğirmezler	geğirmekVIND3PLPRSNEGDECL
başrahiplerdin	başrahipNLGSPEC12SPLPST
bacısından	bacıNABLSGPSS3S
şemsiyelerimizde	şemsiyeNLOCPLPSS1P
kovdu	kovmamakVIND3SGPSTPOSDECL
kapakmışsın	kapakNLGSPEC12SSGLGSPEC2
yalancılığımı	yalancılıkNACCSGPSS1S
tek boynuzlu atı	tek boynuzlu atNNOMSGPSS3S
astronotlarında	astronotNLOCPLPSS3S
kirmenimizden	kirmenNABLSGPSS1P
mesuliyetsizliklerinizi	mesuliyetsizlikNACCPLPSS2P
manitalarmışız	manitaNLGSPEC11PPLLGSPEC2
avcı	avcıNNOMSG
deistinin	deistNGENSGPSS3S
sapanımızda	sapanNLOCSGPSS1P
forumdaştı	forumdaşNLGSPEC13SSGPST
diriliyorsunuz	dirilmekVIND2PLPRSPROGPOSDECL
düzenlenebilirliklerimizden	düzenlenebilirlikNABLPLPSS1P
turşularının	turşuNGENPLPSS3P
dünürlerini	dünürNACCSGPSS3P
falcıların	falcıNNOMPLPSS2S
ürkeceğiz	ürkmekVIND1PLFUTPOSDECL
yeşimine	yeşimNDATSGPSS3S
öykü	öyküNLGSPEC13SSGPRS
dedilkodu yapıyor mu?	dedikodu yapmakVIND3SGPRSPROGPOSINTR
yakşı değiller mi?	yakşıADJLGSPEC1PRS3PLNEGINTR
ağdacımı	ağdacıNACCSGPSS1S
çıngırağı çekiyoruz	çıngırağı çekmekVIND1PLPRSPROGPOSDECL
mayonezlerini	mayonezNACCPLPSS3S
kızanlar	kızanNNOMPL
öğrencisin	öğrenciNLGSPEC12SSGPRS
tanrılarından	tanrıNABLSGPSS3P
fazlalıklardan	fazlalıkNABLPL
gizlenecek miyim?	gizlenmekVIND1SGFUTPOSINTR
birleşmedik mi?	birleşmekVIND1PLPSTNEGINTR
hikâyeden	hikâyeNABLSG
balkanlarınızı	balkanNACCPLPSS2P
dumanlarından	dumanNABLSGPSS3P
ispatlıyorlar mıydı?	ispatlamakVIND3PLPSTPROGPOSINTR
coşkularını	coşkuNACCPLPSS3S
homurdanman	homurdanmaNNOMSGPSS2S
türediniz	türemekVIND2PLPSTPOSDECL
kalpakları	kalpakNNOMSGPSS3P
yetenekli değiller	yetenekliADJLGSPEC1PRS3PLNEGDECL
dakikalarıma	dakikaNDATPLPSS1S
erkecellerinin	erkecelNGENPLPSS2S
üst bağlarımız	üst bağNNOMPLPSS1P
maratonundan	maratonNABLSGPSS3S
dirilmiyor	dirilmekVIND3SGPRSPROGNEGDECL
canlandırır mıyız?	canlandırmamakVIND1PLPRSPOSINTR
sürünmüyorduk	sürünmekVIND1PLPSTPROGNEGDECL
itlerdik	itNLGSPEC11PPLPST
jölelerimi	jöleNACCPLPSS1S
tanıtıyor musunuz?	tanıtmakVIND2PLPRSPROGPOSINTR
bilmiyorlar mı?	bilmekVIND3PLPRSPROGNEGINTR
yendirteceksiniz	yendirtmekVIND2PLFUTPOSDECL
büküldüm	bükülmekVIND1SGPSTPOSDECL
balıkçısını	balıkçıNACCSGPSS3S
frambuazlarımızı	frambuazNACCPLPSS1P
dondurdun mu?	dondurmakVIND2SGPSTPOSINTR
palindromumuzdan	palindromNABLSGPSS1P
oyuncağının	oyuncakNGENSGPSS3S
sabahlarımız	sabahNNOMPLPSS1P
parlatıcılarımızda	parlatıcıNLOCPLPSS1P
döndürmedik mi?	döndürmekVIND1PLPSTNEGINTR
evrimlermiş	evrimNLGSPEC13PPLLGSPEC2
pastırmanıza	pastırmaNDATSGPSS2P
sınıfımıza	sınıfNDATSGPSS1P
bilardo	bilardoNNOMSG
çokdilliliklerden	çokdillilikNABLPL
homoseksüelden	homoseksüelNABLSG
yıpratıyor muydun?	yıpratmakVIND2SGPSTPROGPOSINTR
lahmacununda	lahmacunNLOCSGPSS2S
lügatçeme	lügatçeNDATSGPSS1S
emmiyor muydun?	emmekVIND2SGPSTPROGNEGINTR
öksürüyorlar	öksürmekVIND3PLPRSPROGPOSDECL
ilettin mi?	iletmekVIND2SGPSTPOSINTR
sarımsakları	sarımsakNACCPL
canlanılıyorlardı	canlanılmakVIND3PLPSTPROGPOSDECL
dilimlerine	dilimNDATSGPSS3P
molekülüne	molekülNDATSGPSS3S
hızlı mıymışız?	hızlıADJLGSPEC1LGSPEC21PLPOSINTR
korunmalarının	korunmaNGENPLPSS2S
kırmızı şaraplarımı	kırmızı şarapNACCPLPSS1S
bamyalarımız	bamyaNNOMPLPSS1P
Lefkoşalılarında	LefkoşalıNLOCPLPSS3S
motelde	motelNLOCSG
mühendisliğe	mühendislikNDATSG
entegrasyonları	entegrasyonNACCPL
mesuliyetsizliğimde	mesuliyetsizlikNLOCSGPSS1S
kaçaklarını	kaçakNACCSGPSS3P
teoreminizin	teoremNGENSGPSS2P
şaşırttırmayacak mıyım?	şaşırttırmakVIND1SGFUTNEGINTR
yağdık	yağmakVIND1PLPSTPOSDECL
rahatsızlanıyor mu?	rahatsızlanmakVIND3SGPRSPROGPOSINTR
şeftalileri	şeftaliNNOMPLPSS3S
aynamızdan	aynaNABLSGPSS1P
incimden	inciNABLSGPSS1S
Trabzon hurmalarının	Trabzon hurmasıNGENPL
yitmedik	yitmekVIND1PLPSTNEGDECL
böceğime	böcekNDATSGPSS1S
takısız ad tamlamalarının	takısız ad tamlamasıNGENPL
hacılarmışım	hacıNLGSPEC11SPLLGSPEC2
börülceyi	börülceNACCSG
gitarımın	gitarNGENSGPSS1S
fulyalarınızdan	fulyaNABLPLPSS2P
yendirmezler	yendirmekVIND3PLPRSNEGDECL
vapurunda	vapurNLOCSGPSS3S
yapıyor muydunuz?	yapmakVIND2PLPSTPROGPOSINTR
konar mı?	konmakVIND3SGPRSPOSINTR
matlana	matlaNDATSGPSS2S
giyiyor muyuz?	giymekVIND1PLPRSPROGPOSINTR
cüzzamlarımı	cüzzamNACCPLPSS1S
mortoyu çektim mi?	mortoyu çekmekVIND1SGPSTPOSINTR
görüşlerimizde	görüşNLOCPLPSS1P
gazetelerine	gazeteNDATPLPSS2S
diziler	diziNNOMPL
algoritmalarında	algoritmaNLOCPLPSS3S
ebemizin	ebeNGENSGPSS1P
delirmedim	delirmekVIND1SGPSTNEGDECL
cimcimemize	cimcimeNDATSGPSS1P
tariflere	tarifNDATPL
avcılarımız	avcıNNOMPLPSS1P
gişelerinin	gişeNGENPLPSS3P
ömürleri	ömürNACCPL
fazlalığın	fazlalıkNGENSG
verdirtiyor muyuz?	verdirtmekVIND1PLPRSPROGPOSINTR
bürümeyiz	bürümekVIND1PLPRSNEGDECL
şakanızda	şakaNLOCSGPSS2P
hamburgerinde	hamburgerNLOCSGPSS3S
bataryalarından	bataryaNABLPLPSS2S
odacısına	odacıNDATSGPSS3S
maratonlarımın	maratonNGENPLPSS1S
atomdan	atomNABLSG
temsilcimizde	temsilciNLOCSGPSS1P
gerimizin	geriNGENSGPSS1P
itlerde	itNLOCPL
özlemimizden	özlemNABLSGPSS1P
optimizasyonından	optimizasyonNABLSGPSS3S
erkecelmişsin	erkecelNLGSPEC12SSGLGSPEC2
vilayetlerinde	vilayetNLOCPLPSS3S
derleyicilerinde	derleyiciNLOCSGPSS3P
ölümsüzleştiriyorlar mıydı?	ölümsüzleştirmekVIND3PLPSTPROGPOSINTR
ropdöşambırlar	ropdöşambırNNOMPL
onarıyoruz	onarmakVIND1PLPRSPROGPOSDECL
koruyucusunda	koruyucuNLOCSGPSS3S
piskoposunu	piskoposNACCSGPSS3S
vampirlerine	vampirNDATSGPSS3P
dağıtmıyoruz	dağıtmakVIND1PLPRSPROGNEGDECL
kopmayacak mıyız?	kopmakVIND1PLFUTNEGINTR
kâbusumuz	kâbusNNOMSGPSS1P
kotlarımıza	kotNDATPLPSS1P
kuzgunlarını	kuzgunNACCPLPSS2S
muhalefetlerinde	muhalefetNLOCPLPSS3S
alkışları	alkışNNOMPLPSS3P
medresenizin	medreseNGENSGPSS2P
şahıslarıma	şahısNDATPLPSS1S
ayırdı	ayırmakVIND3SGPSTPOSDECL
söğütlerinin	söğütNGENSGPSS3P
sevkiyatlarının	sevkiyatNGENSGPSS3P
kerpetenleriniz	kerpetenNNOMPLPSS2P
yoğuruyorlar mıydı?	yoğurmakVIND3PLPSTPROGPOSINTR
fitilleriniz	fitilNNOMPLPSS2P
sümüklerinde	sümükNLOCPLPSS3P
kötüleştirmiyor muyduk?	kötüleştirmekVIND1PLPSTPROGNEGINTR
ünlerine	ünNDATPLPSS3S
kızdınız	kızmakVIND2PLPSTPOSDECL
asetonlarınızdan	asetonNABLPLPSS2P
çalgısına	çalgıNDATSGPSS3S
mayalarınızın	mayaNGENPLPSS2P
planetlerinin	planetNGENPLPSS3P
devinirsiniz	devinmekVIND2PLPRSPOSDECL
oğulmuş	oğulNLGSPEC13SSGLGSPEC2
idare-i örfîyi	idare-i örfîNACCSG
birliklerde	birlikNLOCPL
mali yardımlarınızda	mali yardımNLOCPLPSS2P
mümessillerine	mümessilNDATSGPSS3P
katillersiniz	katilNLGSPEC12PPLPRS
işaret kutularına	işaret kutusuNDATPL
şortları	şortNNOMPLPSS3S
kaçaklara	kaçakNDATPL
koltuklarda	koltukNLOCPL
düklerinizde	dükNLOCPLPSS2P
sinmiyor muyum?	sinmekVIND1SGPRSPROGNEGINTR
mikroişlemcimiz	mikroişlemciNNOMSGPSS1P
pimdik	pimNLGSPEC11PSGPST
heyecanlandın	heyecanlanmakVIND2SGPSTPOSDECL
radarı	radarNNOMSGPSS3S
işletmelerimde	işletmeNLOCPLPSS1S
vahayım	vahaNLGSPEC11SSGPRS
yumurtalıkların	yumurtalıkNNOMPLPSS2S
süzgecinin	süzgeçNGENSGPSS3S
zurnaymışsınız	zurnaNLGSPEC12PSGLGSPEC2
güdümlere	güdümNDATPL
bildirmedik mi?	bildirmekVIND1PLPSTNEGINTR
serverlere	serverNDATPL
koyuyorduk	koymakVIND1PLPSTPROGPOSDECL
soğumadın	soğumakVIND2SGPSTNEGDECL
idareleri	idareNNOMSGPSS3P
kullanmıyor muyum?	kullanmakVIND1SGPRSPROGNEGINTR
bitmeyecek	bitmekVIND3SGFUTNEGDECL
ormanlarında	ormanNLOCPLPSS3S
peruklarını	perukNACCPLPSS2S
otogarınızı	otogarNACCSGPSS2P
büktürtmüyordunuz	büktürtmemekVIND2PLPSTPROGNEGDECL
menekşelerimizi	menekşeNACCPLPSS1P
mantıksız değil misin?	mantıksızADJLGSPEC1PRS2SGNEGINTR
çarıma	çarNDATSGPSS1S
referanslarına	referansNDATSGPSS3P
badem	bademNNOMSG
kapar mısınız?	kapmakVIND2PLPRSPOSINTR
eksenimizde	eksenNLOCSGPSS1P
hurilerini	huriNACCSGPSS3P
anketinden	anketNABLSGPSS2S
balıkçılarım	balıkçıNNOMPLPSS1S
üretir miyim?	üretmekVIND1SGPRSPOSINTR
olmazsa olmazımız	olmazsa olmazNNOMSGPSS1P
hücrelerde	hücreNLOCPL
canlanıyor muydunuz?	canlanmakVIND2PLPSTPROGPOSINTR
havlu atmıyorsunuz	havlu atmakVIND2PLPRSPROGNEGDECL
kaynamıyorsun	kaynamakVIND2SGPRSPROGNEGDECL
dadanmayacak mısın?	dadanmakVIND2SGFUTNEGINTR
imreniyordunuz	imrenmekVIND2PLPSTPROGPOSDECL
akbabaymışsın	akbabaNLGSPEC12SSGLGSPEC2
köpük bellekler	köpük bellekNNOMPL
voleybolcumu	voleybolcuNACCSGPSS1S
mumyaya	mumyaNDATSG
suallerinden	sualNABLPLPSS3P
doluyor muyuz?	dolamakVIND1PLPRSPROGPOSINTR
mağarada	mağaraNLOCSG
bileğimizden	bilekNABLSGPSS1P
kartlarımız	kartNNOMPLPSS1P
pelinde	pelinNLOCSG
sporcudan	sporcuNABLSG
insan-ı kâmilimizden	insan-ı kâmilNABLSGPSS1P
süzgeci	süzgeçNNOMSGPSS3S
parçalanmalarında	parçalanmaNLOCPLPSS2S
palağın	palakNGENSG
parlatıcılar	parlatıcıNLGSPEC13SPLPRS
ayaklarından	ayakNABLPLPSS2S
ehemmiyetliliklerinde	ehemmiyetlilikNLOCPLPSS3S
geliştiriyor muyuz?	geliştirmekVIND1PLPRSPROGPOSINTR
kılıyor musunuz?	kılmakVIND2PLPRSPROGPOSINTR
fahişemin	fahişeNGENSGPSS1S
ölçer	ölçmekVIND3SGPRSPOSDECL
bayılıyor	bayılmakVIND3SGPRSPROGPOSDECL
vurgunun	vurguNGENSG
dinlenmenden	dinlenmeNABLSGPSS2S
emersiniz	emmekVIND2PLPRSPOSDECL
kameralar	kameraNLGSPEC13PSGPRS
fırınımızda	fırınNLOCSGPSS1P
hahamım	hahamNLGSPEC11SSGPRS
bakmıyorlar	bakmakVIND3PLPRSPROGNEGDECL
önemsizliklerinden	önemsizlikNABLPLPSS3P
puanlarımıza	puanNDATPLPSS1P
kalpağım	kalpakNNOMSGPSS1S
meyhanemin	meyhaneNGENSGPSS1S
yedirmeyecek misiniz?	yedirmekVIND2PLFUTNEGINTR
deliriyorlar	delirmekVIND3PLPRSPROGPOSDECL
kaldık mı?	kalmakVIND1PLPSTPOSINTR
tepkimenin	tepkimeNGENSG
konferanslarından	konferansNABLPLPSS3S
şalvarlarını	şalvarNACCSGPSS3P
mali yardımları	mali yardımNNOMSGPSS3P
yeriyorsun	yermekVIND2SGPRSPROGPOSDECL
çarpacaksın	çarpmakVIND2SGFUTPOSDECL
hipotalamusumuzdan	hipotalamusNABLSGPSS1P
Lefkoşalılarınızı	LefkoşalıNACCPLPSS2P
elektrikli sandalyenizden	elektrikli sandalyeNABLSGPSS2P
çobanlarımızda	çobanNLOCPLPSS1P
patronmuş	patronNLGSPEC13SSGLGSPEC2
bellerin	belNGENPL
piskoposundan	piskoposNABLSGPSS3S
bugünlerimden	bugünNABLPLPSS1S
bandajının	bandajNGENSGPSS2S
krallıklarda	krallıkNLOCPL
ışığın	ışıkNNOMSGPSS2S
fındık kırıyorsunuz	fındık kırmakVIND2PLPRSPROGPOSDECL
ağayım	ağaNLGSPEC11SSGPRS
dinamitte	dinamitNLOCSG
yeterliklersiniz	yeterlikNLGSPEC12PPLPRS
kelimemizin	kelimeNGENSGPSS1P
karar vermiyordunuz	karar vermekVIND2PLPSTPROGNEGDECL
yapışmalarıma	yapışmaNDATPLPSS1S
ucubelerimizin	ucubeNGENPLPSS1P
telaffuzunu	telaffuzNACCSGPSS3S
zurnalarım	zurnaNNOMPLPSS1S
sonsuzlarınızdan	sonsuzNABLPLPSS2P
taşaklarının	taşakNGENPLPSS3S
konjenital defektlerine	konjenital defektNDATSGPSS3P
becerikli değildi	becerikliADJLGSPEC1PST3SGNEGDECL
kırbacımın	kırbaçNGENSGPSS1S
ısınmıyor muyduk?	ısınmakVIND1PLPSTPROGNEGINTR
tatlılardan	tatlıNABLPL
sargıymış	sargıNLGSPEC13SSGLGSPEC2
girdaplarından	girdapNABLPLPSS2S
büktürtülmedim mi?	büktürtülmekVIND1SGPSTNEGINTR
cihanımıza	cihanNDATSGPSS1P
gökdelenin	gökdelenNGENSG
susamlarından	susamNABLSGPSS3P
yoldaşım	yoldaşNNOMSGPSS1S
küçük müydünüz?	küçükADJLGSPEC1PST2PLPOSINTR
uydulardın	uyduNLGSPEC12SPLPST
ernekte	ernekNLOCSG
donatımımızın	donatımNGENSGPSS1P
tütün	tütüNNOMSGPSS2S
böbreklerinden	böbrekNABLPLPSS3P
ortaklardınız	ortakNLGSPEC12PPLPST
ofislerin	ofisNNOMPLPSS2S
çökerecekler mi?	çökermekVIND3PLFUTPOSINTR
kardelenlerin	kardelenNNOMPLPSS2S
notiluslarının	notilusNGENPLPSS3P
şampiyonluklarına	şampiyonlukNDATPLPSS3S
kurumumun	kurumNGENSGPSS1S
klatratınızın	klatratNGENSGPSS2P
yaptırtmaz	yaptırtmakVIND3SGPRSNEGDECL
yolunmadım	yolunmakVIND1SGPSTNEGDECL
kusmalarında	kusmaNLOCPLPSS3P
geyiklerine	geyikNDATPLPSS3P
kaydınızda	kayıtNLOCSGPSS2P
terzimde	terziNLOCSGPSS1S
satrançlarımızın	satrançNGENPLPSS1P
güneş dışı gezegenlerinin	güneş dışı gezegenNGENSGPSS3P
süpürgelerin	süpürgeNGENPL
kanunlarımızdan	kanunNABLPLPSS1P
bükmelerimizden	bükmeNABLPLPSS1P
şeylerde	şeyNLOCPL
başkanlarımız	başkanNNOMPLPSS1P
kravatınızdan	kravatNABLSGPSS2P
tavernaları	tavernaNACCPL
erneklere	ernekNDATPL
çarpmayacak mısın?	çarpmakVIND2SGFUTNEGINTR
ağda yapmıyordular	ağda yapmakVIND3PLPSTPROGNEGDECL
sosisli sandviçler	sosisli sandviçNNOMPL
keserlardın	keserNLGSPEC12SPLPST
ağamızdan	ağaNABLSGPSS1P
yerel değişkenleriniz	yerel değişkenNNOMPLPSS2P
inanmıyordu	inanmakVIND3SGPSTPROGNEGDECL
volkanlarımızın	volkanNGENPLPSS1P
sunucuydum	sunucuNLGSPEC11SSGPST
önemsizliklerimin	önemsizlikNGENPLPSS1S
silmeyeceksin	silmekVIND2SGFUTNEGDECL
anüslerinin	anüsNGENPLPSS2S
finallerine	finalNDATSGPSS3P
nefes aldıracak mısın?	nefes aldırmakVIND2SGFUTPOSINTR
çalgıların	çalgıNGENPL
paşalarının	paşaNGENPLPSS2S
görür müsün?	görmekVIND2SGPRSPOSINTR
altlarımızın	altNGENPLPSS1P
öğrettiniz	öğretmekVIND2PLPSTPOSDECL
sönmüyorlar	sönmekVIND3PLPRSPROGNEGDECL
hacımda	hacıNLOCSGPSS1S
lahanalarında	lahanaNLOCPLPSS2S
kullanmazsın	kullanmakVIND2SGPRSNEGDECL
eğiliyordum	eğilmekVIND1SGPSTPROGPOSDECL
sağıyor muyduk?	sağmakVIND1PLPSTPROGPOSINTR
ninniler	ninniNLGSPEC13PSGPRS
dişlilerinden	dişliNABLPLPSS3P
otomuzdan	otoNABLSGPSS1P
kullanılacaksınız	kullanılmakVIND2PLFUTPOSDECL
ayarlanmıyor muyduk?	ayarlanmakVIND1PLPSTPROGNEGINTR
sayfaların	sayfaNGENPL
entrikalarına	entrikaNDATPLPSS3S
köçekmişsin	köçekNLGSPEC12SSGLGSPEC2
ıslık çaldın	ıslık çalmakVIND2SGPSTPOSDECL
hükûmetine	hükûmetNDATSGPSS3S
odacıların	odacıNNOMPLPSS2S
aksisedalarından	aksisedaNABLPLPSS3P
deneylerinde	deneyNLOCPLPSS2S
karnabaharlarından	karnabaharNABLPLPSS3S
dövüşünün	dövüşNGENSGPSS2S
kolamızı	kolaNACCSGPSS1P
gollerini	golNACCPLPSS3S
akbabalarının	akbabaNGENPLPSS3P
elçinin	elçiNGENSGPSS2S
delisi	deliNNOMSGPSS3S
büyüleyici miydik?	büyüleyiciADJLGSPEC1PST1PLPOSINTR
âlemlerinde	âlemNLOCPLPSS3S
salçalıklarının	salçalıkNGENSGPSS3P
filozoflarımızdan	filozofNABLPLPSS1P
sakinlerimde	sakinNLOCPLPSS1S
lisanını	lisanNACCSGPSS2S
kovboylardan	kovboyNABLPL
yörekentimde	yörekentNLOCSGPSS1S
otuz bir çekiyor muydunuz?	otuz bir çekmekVIND2PLPSTPROGPOSINTR
göstermiyordular	göstermekVIND3PLPSTPROGNEGDECL
müracaatlarımızın	müracaatNGENPLPSS1P
yapışmadılar	yapışmakVIND3PLPSTNEGDECL
abajurcusunuz	abajurcuNLGSPEC12PSGPRS
ziyaretlermiş	ziyaretNLGSPEC13PPLLGSPEC2
hücreleriz	hücreNLGSPEC11PPLPRS
falımız	falNNOMSGPSS1P
yenilmedik	yenilmekVIND1PLPSTNEGDECL
fillerinin	filNGENPLPSS2S
yazmamıza	yazmaNDATSGPSS1P
salonlarında	salonNLOCPLPSS3P
kara sineklerinin	kara sinekNGENPLPSS3S
eğilmiyorlar mı?	eğilmekVIND3PLPRSPROGNEGINTR
büzük	büzükNNOMSG
firavunlarımızdan	firavunNABLPLPSS1P
üst bağımızın	üst bağNGENSGPSS1P
mikrofonlarda	mikrofonNLOCPL
salıncaklarından	salıncakNABLPLPSS2S
dergilerinin	dergiNGENPLPSS3P
oylarını	oyNACCPLPSS3P
geğiriyor muydunuz?	geğirmekVIND2PLPSTPROGPOSINTR
aseksüellerdiniz	aseksüelNLGSPEC12PPLPST
koşucuyum	koşucuNLGSPEC11SSGPRS
Hakk'ın rahmetine kavuşmaz mısınız?	Hakk'ın rahmetine kavuşmakVIND2PLPRSNEGINTR
sinir hücreleri	sinir hücresiNNOMPL
eğitimimin	eğitimNGENSGPSS1S
ettiriyordu	ettirmekVIND3SGPSTPROGPOSDECL
öğretmenlerdik	öğretmenNLGSPEC11PPLPST
göçlerinden	göçNABLPLPSS2S
mümkün kılmanız	mümkün kılmaNNOMSGPSS2P
masallarınız	masalNNOMPLPSS2P
devrimlerimizin	devrimNGENPLPSS1P
geyşalarmışım	geyşaNLGSPEC11SPLLGSPEC2
derilerimden	deriNABLPLPSS1S
yeterlilikleri	yeterlilikNNOMPLPSS3P
Monakolularında	MonakoluNLOCPLPSS2S
kırtasiyemize	kırtasiyeNDATSGPSS1P
topçularıma	topçuNDATPLPSS1S
gerzeğinden	gerzekNABLSGPSS2S
pusarım	pusmakVIND1SGPRSPOSDECL
yanıtlarının	yanıtNGENPLPSS2S
dullarım	dulNLGSPEC11SPLPRS
kilimin	kilimNGENSG
borcunuzda	borçNLOCSGPSS2P
evrensel değişkenleri	evrensel değişkenNNOMSGPSS3P
yağlayıcılarım	yağlayıcıNNOMPLPSS1S
disleksilerimizden	disleksiNABLPLPSS1P
gizlenmeyecek misin?	gizlenmekVIND2SGFUTNEGINTR
duylara	duyNDATPL
doğruyor musunuz?	doğramakVIND2PLPRSPROGPOSINTR
seyretti	seyretmekVIND3SGPSTPOSDECL
yayalarınızı	yayaNACCPLPSS2P
büyücünün	büyücüNGENSG
mezarlıklar	mezarlıkNLGSPEC13PSGPRS
direklerini	direkNACCPLPSS2S
yollarına	yolNDATPLPSS3P
bitirttiriyordun	bitirttirmekVIND2SGPSTPROGPOSDECL
şüphelerini	şüpheNACCPLPSS2S
mektuplarda	mektupNLOCPL
yenici deyimleri	yenici deyimNNOMSGPSS3P
fortlıyorlardı	fortlamakVIND3PLPSTPROGPOSDECL
gizlemiyorduk	gizlemekVIND1PLPSTPROGNEGDECL
dakikalarımdan	dakikaNABLPLPSS1S
hastalardan	hastaNABLPL
okiyanızda	okiyaNLOCSGPSS2P
ağlamana	ağlamaNDATSGPSS2S
malamozmuşlar	malamozNLGSPEC13PSGLGSPEC2
periyodik cetvellerinden	periyodik cetvelNABLSGPSS3P
kalpaklara	kalpakNDATPL
basacak mısınız?	basmakVIND2PLFUTPOSINTR
mumlarında	mumNLOCPLPSS3S
ölçülmediniz	ölçülmekVIND2PLPSTNEGDECL
tükenmeyecek misin?	tükenmekVIND2SGFUTNEGINTR
telaffuzumuzda	telaffuzNLOCSGPSS1P
dirilmeiyor	dirilmemekVIND3SGPRSPROGPOSDECL
yalıtımlarınızdan	yalıtımNABLPLPSS2P
büyüleyici değildiler	büyüleyiciADJLGSPEC1PST3PLNEGDECL
konseylerinden	konseyNABLPLPSS3S
kırıtmıyoruz	kırıtmakVIND1PLPRSPROGNEGDECL
platformum	platformNNOMSGPSS1S
benzedik	benzemekVIND1PLPSTPOSDECL
dişlekliklerinden	dişleklikNABLPLPSS2S
sağduyularım	sağduyuNNOMPLPSS1S
yaklaşmadık	yaklaşmakVIND1PLPSTNEGDECL
namaz	namazNNOMSG
kaynaştırmadım mı?	kaynaştırmakVIND1SGPSTNEGINTR
çökeceksiniz	çökmekVIND2PLFUTPOSDECL
işletimlersin	işletimNLGSPEC12SPLPRS
protestomu	protestoNACCSGPSS1S
kuğumda	kuğuNLOCSGPSS1S
kurulunuzun	kurulNGENSGPSS2P
kavramlarına	kavramNDATPLPSS3S
jonglörlerinizde	jonglörNLOCPLPSS2P
mandalinaların	mandalinaNNOMPLPSS2S
kırıtmadınız	kırıtmakVIND2PLPSTNEGDECL
pabucunu	pabuçNACCSGPSS3S
dokunmatik ekranınızı	dokunmatik ekranNACCSGPSS2P
keçilerinden	keçiNABLPLPSS2S
yayımcılıklarınıza	yayımcılıkNDATPLPSS2P
tanrılarmış	tanrıNLGSPEC13SPLLGSPEC2
ölümümüz	ölümNNOMSGPSS1P
geçindim	geçinmekVIND1SGPSTPOSDECL
peruktan	perukNABLSG
gecelerinin	geceNGENSGPSS3P
sürgünlerinde	sürgünNLOCSGPSS3P
çalgımdan	çalgıNABLSGPSS1S
kıskandı	kıskanmakVIND3SGPSTPOSDECL
dağıtmayacak mıyız?	dağıtmakVIND1PLFUTNEGINTR
çökertiyorlar	çökertmekVIND3PLPRSPROGPOSDECL
baykuşun	baykuşNGENSG
köpeğin	köpekNGENSG
süzmediniz mi?	süzmekVIND2PLPSTNEGINTR
yavrularım	yavruNLGSPEC11SPLPRS
mutlu sonlara	mutlu sonNDATPL
kolaya	kolaNDATSG
köylülerin	köylüNGENPL
