rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
dışarı	dışarı+Noun+A3sg+Pnon+Nom
şekerliğimin	şeker+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P1sg+Gen
şeker	şeker+Noun+A3sg+Pnon+Nom
ağzına	ağız+Noun+A3sg+P3sg+Dat
şekerliğin	şeker+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Gen
dibinde	dip+Noun+A3sg+P3sg+Loc
evi	ev+Noun+A3sg+P3sg+Nom
komik	komik+Noun+A3sg+Pnon+Nom
olay	olay+Noun+A3sg+Pnon+Nom
muhitin	muhit+Noun+A3sg+Pnon+Gen
asaleti	asalet+Noun+A3sg+P3sg+Nom
su	su+Noun+A3sg+Pnon+Nom
nuz	nuz+Noun+A3sg+Pnon+Nom
nor	nor+Noun+A3sg+Pnon+Nom
mal	mal+Noun+A3sg+Pnon+Nom
açgözlülük	açgözlü+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
şekeri	şeker+Noun+A3sg+P3sg+Nom
kepazeliği	kepaze+Adj^DB+Noun+Ness+A3sg+P3sg+Nom
harekete	hareket+Noun+A3sg+Pnon+Dat
karar	karar+Noun+A3sg+Pnon+Nom
belle	bel+Noun+A3sg+Pnon+Ins
fıçı	fıçı+Noun+A3sg+Pnon+Nom
zevkinizden	zevk+Noun+A3sg+P2pl+Abl
etmeye	et+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
vücut	vücut+Noun+A3sg+Pnon+Nom
kadında	kadın+Noun+A3sg+Pnon+Loc
oy	oy+Noun+A3sg+Pnon+Nom
kızcağızın	kızcağız+Noun+A3sg+Pnon+Gen
vücudu	vücut+Noun+A3sg+P3sg+Nom
çocuk	çocuk+Noun+A3sg+Pnon+Nom
dördünde	dördün+Noun+A3sg+Pnon+Loc
ge	ge+Noun+A3sg+Pnon+Nom
li	li+Noun+A3sg+Pnon+Nom
şi	şi+Noun+A3sg+Pnon+Nom
kızcağız	kızcağız+Noun+A3sg+Pnon+Nom
ellerini	el+Noun+A3pl+P3sg+Acc
ci	ci+Noun+A3sg+Pnon+Nom
gözlüğüyle	gözlük+Noun+A3sg+P3sg+Ins
quelle	uel+Noun+A3sg+Pnon+Ins
charmante	charmante+Noun+A3sg+Pnon+Nom
şarkı	şarkı+Noun+A3sg+Pnon+Nom
artist	artist+Noun+A3sg+Pnon+Nom
yürüyüşüyle	yürü+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Ins
piyanoya	piyano+Noun+A3sg+Pnon+Dat
evlat	evlat+Noun+A3sg+Pnon+Nom
manasıyla	mana+Noun+A3sg+P3sg+Ins
kalbi	kalp+Noun+A3sg+P3sg+Nom
duygular	duygu+Noun+A3pl+Pnon+Nom
bakımından	bakım+Noun+A3sg+P3sg+Abl
hayatımda	hayat+Noun+A3sg+P1sg+Loc
kontes	kontes+Noun+A3sg+Pnon+Nom
müş	müş+Noun+A3sg+Pnon+Nom
em	em+Noun+A3sg+Pnon+Nom
sal	sal+Noun+A3sg+Pnon+Nom
aşçısıyla	aşçı+Noun+A3sg+P3sg+Ins
ru	ru+Noun+A3sg+Pnon+Nom
kont	kont+Noun+A3sg+Pnon+Nom
unvanı	unvan+Noun+A3sg+P3sg+Nom
bıyıkları	bıyık+Noun+A3pl+P3pl+Nom
ortalıktan	orta+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Abl
kavga	kavga+Noun+A3sg+Pnon+Nom
anne	anne+Noun+A3sg+Pnon+Nom
charmant	charmant+Noun+A3sg+Pnon+Nom
zi	zi+Noun+A3sg+Pnon+Nom
ği	ği+Noun+A3sg+Pnon+Nom
taşkın	taşkın+Noun+A3sg+Pnon+Nom
burnu	burun+Noun+A3sg+P3sg+Nom
enfiyeden	enfiye+Noun+A3sg+Pnon+Abl
rış	rış+Noun+A3sg+Pnon+Nom
tı	tı+Noun+A3sg+Pnon+Nom
rı	rı+Noun+A3sg+Pnon+Nom
rum	rum+Noun+A3sg+Pnon+Nom
defa	defa+Noun+A3sg+Pnon+Nom
şövalyelere	şövalye+Noun+A3pl+Pnon+Dat
şarkın	şark+Noun+A3sg+Pnon+Gen
şato	şato+Noun+A3sg+Pnon+Nom
kadınla	kadın+Noun+A3sg+Pnon+Ins
şatoları	şato+Noun+A3pl+P3pl+Nom
turnuvalar	turnuva+Noun+A3pl+Pnon+Nom
yakına	yakın+Noun+A3sg+Pnon+Dat
şatolar	şato+Noun+A3pl+Pnon+Nom
gözünü	göz+Noun+A3sg+P3sg+Acc
halle	hal+Noun+A3sg+Pnon+Ins
şarkıyı	şarkı+Noun+A3sg+Pnon+Acc
tır	tır+Noun+A3sg+Pnon+Nom
okumaya	oku+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
moda	mod+Noun+A3sg+Pnon+Dat
notayı	nota+Noun+A3sg+Pnon+Acc
heykeltıraşın	heykeltıraş+Noun+A3sg+Pnon+Gen
saçları	saç+Noun+A3pl+Pnon+Acc
göğsü	göğüs+Noun+A3sg+P3sg+Nom
heyecandan	heyecan+Noun+A3sg+Pnon+Abl
müzikle	müzik+Noun+A3sg+Pnon+Ins
hatıralarıyla	hatıra+Noun+A3pl+P3sg+Ins
diz	diz+Noun+A3sg+Pnon+Nom
çökmeye	çök+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
parmaklarını	parmak+Noun+A3pl+P3sg+Acc
me	me+Noun+A3sg+Pnon+Nom
ravissez	ravissez+Noun+A3sg+Pnon+Nom
ma	ma+Noun+A3sg+Pnon+Nom
enfant	enfant+Noun+A3sg+Pnon+Nom
geçmek	geç+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
zamanı	zaman+Noun+A3sg+Pnon+Acc
geldiğini	gel+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
duygu	duygu+Noun+A3sg+Pnon+Nom
yaşama	yaşam+Noun+A3sg+Pnon+Dat
gücü	güç+Noun+A3sg+Pnon+Acc
ömrünüzün	ömür+Noun+A3sg+P2pl+Gen
ıssızlığa	ıssız+Adj^DB+Noun+Ness+A3sg+Pnon+Dat
çekilmek	çek+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
dostlardan	dost+Noun+A3pl+Pnon+Abl
kaçmak	kaç+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
tabir	tabir+Noun+A3sg+Pnon+Nom
bakışlarla	bak+Verb+Pos^DB+Noun+Inf3+A3pl+Pnon+Ins
hatıraları	hatıra+Noun+A3pl+Pnon+Acc
gençliğinizin	gençlik+Noun+A3sg+P2pl+Gen
günlerin	gün+Noun+A3pl+Pnon+Gen
hatıralarını	hatıra+Noun+A3pl+P3sg+Acc
topluma	toplum+Noun+A3sg+Pnon+Dat
insanlara	insan+Noun+A3pl+Pnon+Dat
gösterene	göster+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Dat
kalbe	kalp+Noun+A3sg+Pnon+Dat
ihtiyacınız	ihtiyaç+Noun+A3sg+P2pl+Nom
herkesten	herkes+Noun+A3sg+Pnon+Abl
üstü	üst+Noun+A3sg+P3sg+Nom
kocamı	koca+Noun+A3sg+P1sg+Acc
peşinizden	peş+Noun+A3sg+P2pl+Abl
kızım	kız+Noun+A3sg+P1sg+Nom
arkadaşınız	arkadaş+Noun+A3sg+P2pl+Nom
eşiniz	eş+Noun+A3sg+P2pl+Nom
karınız	kar+Noun+A3sg+P2pl+Nom
personne	personne+Noun+A3sg+Pnon+Nom
olduğunuza	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Dat
duyguyla	duygu+Noun+A3sg+Pnon+Ins
çocuklarımız	çocuk+Noun+A3pl+P1pl+Nom
koruyucu	koru+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
meleğim	melek+Noun+A3sg+P1sg+Nom
düşüncelerimiz	düşünce+Noun+A3pl+P1pl+Nom
kalbimin	kalp+Noun+A3sg+P1sg+Gen
ayrılmamak	ayır+Verb^DB+Verb+Pass+Neg^DB+Noun+Inf1+A3sg+Pnon+Nom
teklifini	teklif+Noun+A3sg+P3sg+Acc
götüreceğiniz	götür+Verb+Pos^DB+Noun+FutPart+A3sg+P2pl+Nom
ü	ü+Noun+A3sg+Pnon+Nom
öpmeye	öp+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
çökmek	çök+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
konuşmaya	konuş+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
ümidin	ümit+Noun+A3sg+Pnon+Gen
sözü	söz+Noun+A3sg+Pnon+Acc
ilgisine	ilgi+Noun+A3sg+P3sg+Dat
gençlikte	gençlik+Noun+A3sg+Pnon+Loc
asilzadeliğin	asilzade+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Gen
davranışların	davran+Verb+Pos^DB+Noun+Inf3+A3pl+Pnon+Gen
kralı	kral+Noun+A3sg+P3sg+Nom
sayılacağı	say+Verb^DB+Verb+Pass+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
çağında	çağ+Noun+A3sg+P3sg+Loc
sarayın	saray+Noun+A3sg+Pnon+Gen
dilberlerinden	dilber+Noun+A3pl+P3sg+Abl
kalbini	kalp+Noun+A3sg+P3sg+Acc
olduğunuzu	ol+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Acc
aklınıza	akıl+Noun+A3sg+P2pl+Dat
neşe	neşe+Noun+A3sg+Pnon+Nom
zarafet	zarafet+Noun+A3sg+Pnon+Nom
zenginliğiyle	zengin+Adj^DB+Noun+Ness+A3sg+P3sg+Ins
imkan	imkan+Noun+A3sg+Pnon+Nom
içmelere	iç+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Dat
örnek	örnek+Noun+A3sg+Pnon+Nom
karınızla	kar+Noun+A3sg+P2pl+Ins
görünün	görü+Noun+A3sg+Pnon+Gen
şaşırtıcı	şaşır+Verb^DB+Verb+Caus+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
asiller	asil+Adj^DB+Noun+Zero+A3pl+Pnon+Nom
zümresinin	zümre+Noun+A3sg+P3sg+Gen
temsilcisi	temsilci+Noun+A3sg+P3sg+Nom
güzeller	güzel+Adj^DB+Noun+Zero+A3pl+Pnon+Nom
güzeli	güzel+Adj^DB+Noun+Zero+A3sg+P3sg+Nom
gururla	gurur+Noun+A3sg+Pnon+Ins
salonlarda	salon+Noun+A3pl+Pnon+Loc
esprilerinizle	espri+Noun+A3pl+P2pl+Ins
herkes	herkes+Noun+A3sg+Pnon+Nom
gazete	gazete+Noun+A3sg+Pnon+Nom
yazılarla	yazı+Noun+A3pl+Pnon+Ins
ümitten	ümit+Noun+A3sg+Pnon+Abl
yazılar	yazı+Noun+A3pl+Pnon+Nom
gevezeliğinin	geveze+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3sg+Gen
yarısını	yarı+Noun+A3sg+P3sg+Acc
söylediğiniz	söyle+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Nom
şarkıları	şarkı+Noun+A3pl+Pnon+Acc
kı	kı+Noun+A3sg+Pnon+Nom
yı	yı+Noun+A3sg+Pnon+Nom
is	is+Noun+A3sg+Pnon+Nom
te	te+Noun+A3sg+Pnon+Nom
rim	ri+Noun+A3sg+P1sg+Nom
isteğini	istek+Noun+A3sg+P3sg+Acc
chatelaine	chatelain+Noun+A3sg+Pnon+Dat
yavrum	yavru+Noun+A3sg+P1sg+Nom
lat	lat+Noun+A3sg+Pnon+Nom
nız	nız+Noun+A3sg+Pnon+Nom
vikontesle	vikontes+Noun+A3sg+Pnon+Ins
düetler	düet+Noun+A3pl+Pnon+Nom
sözleri	söz+Noun+A3pl+P3sg+Nom
kelimeler	kelime+Noun+A3pl+Pnon+Nom
ateşi	ateş+Noun+A3sg+Pnon+Acc
kızıma	kız+Noun+A3sg+P1sg+Dat
durumun	durum+Noun+A3sg+Pnon+Gen
cevabı	cevap+Noun+A3sg+P3sg+Nom
umduğundan	um+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Abl
heyecanından	heyecan+Noun+A3sg+P3sg+Abl
aşığım	aşık+Noun+A3sg+P1sg+Nom
fedaya	feda+Noun+A3sg+Pnon+Dat
ümidim	ümit+Noun+A3sg+P1sg+Nom
vermeyi	ver+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc
lar	lar+Noun+A3sg+Pnon+Nom
ler	ler+Noun+A3sg+Pnon+Nom
elimden	el+Noun+A3sg+P1sg+Abl
kollarından	kol+Noun+A3pl+P3sg+Abl
kızının	kız+Noun+A3sg+P3sg+Gen
kollarına	kol+Noun+A3pl+P3sg+Dat
varlığıyla	varlık+Noun+A3sg+P3sg+Ins
komedyayı	komedya+Noun+A3sg+Pnon+Acc
tiksintiyle	tiksinti+Noun+A3sg+Pnon+Ins
ayrılacağımızı	ayır+Verb^DB+Verb+Pass+Pos^DB+Noun+FutPart+A3sg+P1pl+Acc
kalbim	kalp+Noun+A3sg+P1sg+Nom
baktığının	bak+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Gen
kibarlığınızla	kibar+Adj^DB+Noun+Ness+A3sg+P2pl+Ins
yaprak	yaprak+Noun+A3sg+Pnon+Nom
pı	pı+Noun+A3sg+Pnon+Nom
anneni	anne+Noun+A3sg+P2sg+Acc
vermek	ver+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
gülümsemeye	gülümse+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
huşu	huşu+Noun+A3sg+Pnon+Nom
yaşamaya	yaşa+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
lı	lı+Noun+A3sg+Pnon+Nom
adama	adam+Noun+A3sg+Pnon+Dat
tanıdığım	tanı+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Nom
şövalyesi	şövalye+Noun+A3sg+P3sg+Nom
buraya	bura+Noun+A3sg+Pnon+Dat
varlığımı	varlık+Noun+A3sg+P1sg+Acc
meleğimi	melek+Noun+A3sg+P1sg+Acc
acılarım	acı+Noun+A3pl+P1sg+Nom
ayıplar	ayıp+Noun+A3pl+Pnon+Nom
hakaretlerden	hakaret+Noun+A3pl+Pnon+Abl
tahkir	tahkir+Noun+A3sg+Pnon+Nom
iftiracının	iftira+Noun+A3sg+Pnon+Nom^DB+Noun+Agt+A3sg+Pnon+Gen
küstahın	küstah+Adj^DB+Noun+Zero+A3sg+Pnon+Gen
kılıcınız	kıl+Verb+Pos^DB+Noun+Agt+A3sg+P2pl+Nom
düğünümüz	düğün+Noun+A3sg+P1pl+Nom
no	no+Noun+A3sg+Pnon+Nom
göndermek	gönder+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
rım	rı+Noun+A3sg+P1sg+Nom
ateşe	ateş+Noun+A3sg+Pnon+Dat
heyecana	heyecan+Noun+A3sg+Pnon+Dat
toplumdan	toplum+Noun+A3sg+Pnon+Abl
gömülmeye	göm+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
cehennemliği	cehennem+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Acc
pa	pa+Noun+A3sg+Pnon+Nom
yım	yı+Noun+A3sg+P1sg+Nom
kor	kor+Noun+A3sg+Pnon+Nom
ku	ku+Noun+A3sg+Pnon+Nom
dum	du+Noun+A3sg+P1sg+Nom
canavarlar	canavar+Noun+A3pl+Pnon+Nom
saçmalıktan	saçma+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Abl
koltuğa	koltuk+Noun+A3sg+Pnon+Dat
ba	ba+Noun+A3sg+Pnon+Nom
hi	hi+Noun+A3sg+Pnon+Nom
ğen	ğe+Noun+A3sg+P2sg+Nom
miş	miş+Noun+A3sg+Pnon+Nom
kadarcık	kadar+Postp+PCDat^DB+Noun+Zero+A3sg+Pnon+Nom^DB+Noun+Dim+A3sg+Pnon+Nom
ğıt	ğıt+Noun+A3sg+Pnon+Nom
paz	paz+Noun+A3sg+Pnon+Nom
zım	zı+Noun+A3sg+P1sg+Nom
papaz	papaz+Noun+A3sg+Pnon+Nom
kızlar	kız+Noun+A3pl+Pnon+Nom
canavarlık	canavar+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
yanınızda	yan+Noun+A3sg+P2pl+Loc
ağız	ağız+Noun+A3sg+Pnon+Nom
evlenmeniz	evlen+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
şaşkınlığa	şaşkın+Adj^DB+Noun+Ness+A3sg+Pnon+Dat
deliyle	deli+Adj^DB+Noun+Zero+A3sg+Pnon+Ins
yüzlerine	yüz+Noun+A3pl+P3sg+Dat
başınız	baş+Noun+A3sg+P2pl+Nom
le	le+Noun+A3sg+Pnon+Nom
ri	ri+Noun+A3sg+Pnon+Nom
nefes	nefes+Noun+A3sg+Pnon+Nom
şefkatiyle	şefkat+Noun+A3sg+P3sg+Ins
yatışmanız	yatış+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
dinlenmeniz	dinle+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
u	u+Noun+A3sg+Pnon+Nom
zan	zan+Noun+A3sg+Pnon+Nom
ter	ter+Noun+A3sg+Pnon+Nom
odanıza	oda+Noun+A3sg+P2pl+Dat
portreye	portre+Noun+A3sg+Pnon+Dat
portresi	portre+Noun+A3sg+P3sg+Nom
aramızda	ara+Noun+A3sg+P1pl+Loc
ziz	ziz+Noun+A3sg+Pnon+Nom
joli	joli+Noun+A3sg+Pnon+Nom
annem	anne+Noun+A3sg+P1sg+Nom
re	re+Noun+A3sg+Pnon+Nom
şiş	şiş+Noun+A3sg+Pnon+Nom
chere	cher+Noun+A3sg+Pnon+Dat
mem	me+Noun+A3sg+P1sg+Nom
nu	nü+Noun+A3sg+Pnon+Nom
ni	ni+Noun+A3sg+Pnon+Nom
yarın	yar+Noun+A3sg+P2sg+Nom
eliyle	el+Noun+A3sg+P3sg+Ins
selam	selam+Noun+A3sg+Pnon+Nom
yollamak	yolla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
ayağı	ayak+Noun+A3sg+P3sg+Nom
kaydı	kayıt+Noun+A3sg+P3sg+Nom
eşikte	eşik+Noun+A3sg+Pnon+Loc
ağırlık	ağırlık+Noun+A3sg+Pnon+Nom
tiksinti	tiksinti+Noun+A3sg+Pnon+Nom
alev	alev+Noun+A3sg+Pnon+Nom
dişleri	diş+Noun+A3pl+Pnon+Acc
kıpırdamadan	kıpırda+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
utancından	utanç+Noun+A3sg+P3sg+Abl
kapı	kapı+Noun+A3sg+Pnon+Nom
içeriye	içeri+Noun+A3sg+Pnon+Dat
hiddetten	hiddet+Noun+A3sg+Pnon+Abl
karşısında	karşı+Noun+A3sg+P3sg+Loc
arkasından	arka+Noun+A3sg+P3sg+Abl
hiddetle	hiddet+Noun+A3sg+Pnon+Ins
adiliği	adi+Adj^DB+Noun+Ness+A3sg+P3sg+Nom
isim	isim+Noun+A3sg+Pnon+Nom
bakışı	bak+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Nom
suçlamaya	suçla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
hakkınız	hak+Noun+A3sg+P2pl+Nom
hakla	hak+Noun+A3sg+Pnon+Ins
ala	ala+Noun+A3sg+Pnon+Nom
söyleyemeyeceğimi	söyle+Verb^DB+Verb+Able+Neg^DB+Noun+FutPart+A3sg+P1sg+Acc
yedeğe	yedek+Noun+A3sg+Pnon+Dat
ıstırabı	ıstırap+Noun+A3sg+P3sg+Nom
titremeyle	titre+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Ins
acıdığımdan	acı+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Abl
dememem	de+Verb+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
yakından	yakın+Noun+A3sg+Pnon+Abl
tanımam	tanı+Verb+Pos^DB+Noun+Inf2+A3sg+P1sg+Nom
konusunu	konu+Noun+A3sg+P3sg+Acc
oynadığımı	oyna+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
küstahlığında	küstah+Adj^DB+Noun+Ness+A3sg+P3sg+Loc
süreden	süre+Noun+A3sg+Pnon+Abl
hoşnutsuzluğu	hoşnutsuz+Adj^DB+Noun+Ness+A3sg+Pnon+Acc
saklamaya	sakla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
lüzum	lüzum+Noun+A3sg+Pnon+Nom
açığa	açık+Adj^DB+Noun+Zero+A3sg+Pnon+Dat
gelişinize	gel+Verb+Pos^DB+Noun+Inf3+A3sg+P2pl+Dat
darılmadığımı	darıl+Verb+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
nefretimizi	nefret+Noun+A3sg+P1pl+Acc
saklamak	sakla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
ortamı	ortam+Noun+A3sg+P3sg+Nom
paylaşmak	paylaş+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
yedekte	yedek+Noun+A3sg+Pnon+Loc
tuttuğumdan	tut+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Abl
bahsetmeye	bahset+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
düşündüklerimi	düşün+Verb+Pos^DB+Noun+PastPart+A3pl+P1sg+Acc
zekadan	zeka+Noun+A3sg+Pnon+Abl
ahım	ah+Noun+A3sg+P1sg+Nom
şahım	şahım+Noun+A3sg+Pnon+Nom
sebeple	sebep+Noun+A3sg+Pnon+Ins
ahmağın	ahmak+Adj^DB+Noun+Zero+A3sg+Pnon+Gen
bahtınızın	baht+Noun+A3sg+P2pl+Gen
yolunuzun	yol+Noun+A3sg+P2pl+Gen
olmasını	ol+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
dilemekten	dile+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Abl
söyledikten	söyle+Verb+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
sırtını	sırt+Noun+A3sg+P3sg+Acc
odadan	oda+Noun+A3sg+Pnon+Abl
kaybolduğunu	kaybol+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
hiddetinden	hiddet+Noun+A3sg+P3sg+Abl
bağırmaya	bağır+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
buradan	bura+Noun+A3sg+Pnon+Abl
gitmeden	git+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
annenizle	anne+Noun+A3sg+P2pl+Ins
düşürdüğünüzü	düş+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P2pl+Acc
şehre	şehir+Noun+A3sg+Pnon+Dat
omuz	omuz+Noun+A3sg+Pnon+Nom
kapıyı	kapı+Noun+A3sg+Pnon+Acc
bağırdıklarını	bağır+Verb+Pos^DB+Noun+PastPart+A3pl+P3pl+Acc
dehşetten	dehşet+Noun+A3sg+Pnon+Abl
olanı	ol+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Acc
biteni	bit+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Acc
işin	iş+Noun+A3sg+Pnon+Gen
selameti	selamet+Noun+A3sg+P3sg+Nom
tutmaları	tut+Verb+Pos^DB+Noun+Inf2+A3pl+P3sg+Nom
hesapları	hesap+Noun+A3pl+Pnon+Acc
durumu	durum+Noun+A3sg+Pnon+Acc
yatıştırmak	yatış+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
zihninde	zihin+Noun+A3sg+P3sg+Loc
dostça	dost+Noun+A3sg+Pnon+Equ
gözü	göz+Noun+A3sg+P3sg+Nom
halttan	halt+Noun+A3sg+Pnon+Abl
hanımefendi	hanımefendi+Noun+A3sg+Pnon+Nom
dolaba	dolap+Noun+A3sg+Pnon+Dat
koyacağınızı	koy+Verb+Pos^DB+Noun+FutPart+A3sg+P2pl+Acc
hanım	hanım+Noun+A3sg+Pnon+Nom
bulunduğunun	bulun+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Gen
çeyrek	çeyrek+Noun+A3sg+Pnon+Nom
koltuğu	koltuk+Noun+A3sg+Pnon+Acc
şaşkınlık	şaşkın+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
suçunuz	suç+Noun+A3sg+P2pl+Nom
sabrının	sabır+Noun+A3sg+P3sg+Gen
sınırı	sınır+Noun+A3sg+P3sg+Nom
dünyada	dünya+Noun+A3sg+Pnon+Loc
dostunuz	dost+Noun+A3sg+P2pl+Nom
olmadığı	ol+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Nom
hitap	hitap+Noun+A3sg+Pnon+Nom
etmeme	et+Verb+Neg^DB+Noun+Inf2+A3sg+Pnon+Nom
can	can+Noun+A3sg+Pnon+Nom
evinizden	ev+Noun+A3sg+P2pl+Abl
konuşmanıza	konuş+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Dat
hissettiğim	hisset+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Nom
kalbimi	kalp+Noun+A3sg+P1sg+Acc
gözlerinin	göz+Noun+A3pl+P3sg+Gen
sitemle	sitem+Noun+A3sg+Pnon+Ins
aptalın	aptal+Adj^DB+Noun+Zero+A3sg+Pnon+Gen
öfkesini	öfke+Noun+A3sg+P3sg+Acc
cesaretini	cesaret+Noun+A3sg+P3sg+Acc
artırmaya	art+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
arkamdan	arka+Noun+A3sg+P1sg+Abl
kurduğunuzu	kur+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Acc
yerinden	yer+Noun+A3sg+P3sg+Abl
kadarı	kadar+Postp+PCDat^DB+Noun+Zero+A3sg+P3sg+Nom
başkalarını	başka+Adj^DB+Noun+Zero+A3pl+P3pl+Acc
sözlerine	söz+Noun+A3pl+P3sg+Dat
dinlemeyi	dinle+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc
gözcülük	gözcü+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+Pnon+Nom
meseleyi	mesele+Noun+A3sg+Pnon+Acc
suçum	suç+Noun+A3sg+P1sg+Nom
iyilik	iyi+Adj^DB+Noun+Ness+A3sg+Pnon+Nom
istediğimden	iste+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Abl
toy	toy+Noun+A3sg+Pnon+Nom
canım	can+Noun+A3sg+P1sg+Nom
elinizden	el+Noun+A3sg+P2pl+Abl
dikkatle	dikkat+Noun+A3sg+Pnon+Ins
hak	hak+Noun+A3sg+Pnon+Nom
dinlemekle	dinle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
küçültmeden	küçül+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
ayrıntısına	ayrıntı+Noun+A3sg+P3sg+Dat
konuşmamam	konuş+Verb+Neg^DB+Noun+Inf2+A3sg+P1sg+Nom
tasarı	tasarı+Noun+A3sg+Pnon+Nom
halinde	hal+Noun+A3sg+P3sg+Loc
kabahat	kabahat+Noun+A3sg+Pnon+Nom
ettirene	et+Verb^DB+Verb+Caus+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3sg+Pnon+Dat
çektiğimi	çek+Verb+Pos^DB+Noun+PastPart+A3sg+P1sg+Acc
çılgınca	çılgın+Noun+A3sg+Pnon+Equ
